Energy,Exact,Mix8Av,Kav,Tav,H30av,H60av,H90av,MixBasis0,KBasis0,TBasis0,H30Basis0,H60Basis0,H90Basis0
12,923.213759370746,1.77806332224389E-05,4.03003743606282E-05,2.34095531391342E-05,1.98711283963149E-05,1.83752133590378E-05,2.5126338110583E-05,923.21436808228,923.22937446919,923.193418167072,923.260400624791,923.213008812366,923.165621892531
12.3333333333333,906.517951321678,1.73270343457501E-05,5.63718607436271E-05,2.30271988868355E-05,1.96860331554752E-05,1.92142748204543E-05,2.95977707447535E-05,906.516071161973,906.539831993976,906.493107281924,906.574161814375,906.51127708459,906.428159771027
12.6666666666667,891.623650060582,1.65545691068361E-05,2.44799430902514E-05,2.23515140469975E-05,1.97183693966264E-05,2.2684169871773E-05,3.83906003514509E-05,891.62151314,891.651048016317,891.596377290185,891.690795140108,891.659305521744,891.453807577188
13,878.490204501657,1.65906107035553E-05,2.52347425804705E-05,2.12315809320258E-05,1.98825039109033E-05,3.4416928094483E-05,4.85623014196882E-05,878.498212503497,878.521972580161,878.463838239946,878.569876228323,878.645657313788,878.230601103978
13.3333333333333,867.100834147827,2.01072746461282E-05,2.70333285139411E-05,1.96004504365922E-05,2.02655240781806E-05,5.62783504746127E-05,3.27070374873056E-05,867.144864841754,867.135871438692,867.079202459379,867.194802787061,867.443936578884,866.977440181559
13.6666666666667,857.388213139019,2.31121757667895E-05,2.8552047976015E-05,1.75210010549553E-05,2.10831833853072E-05,6.44086603481636E-05,2.12799997989009E-05,857.462433054218,857.425669466723,857.374496036211,857.498305464963,857.787261875116,857.417718552379
14,849.299844800308,2.38920052815761E-05,3.05334260440671E-05,1.52067972299976E-05,2.22605926947086E-05,5.98256398706324E-05,2.64067770772603E-05,849.384802943433,849.339112154508,849.295737220314,849.427731485561,849.611358536683,849.379456540622
14.3333333333333,842.788763048241,2.40002027634814E-05,3.40559260456541E-05,1.42506409930026E-05,2.37015002602182E-05,6.32355162130895E-05,2.72261444587702E-05,842.878594390019,842.82938098904,842.794436673332,842.935549031662,843.036107602776,842.883077999287
14.6666666666667,837.785617940543,2.33391314454779E-05,4.24096843356567E-05,1.41352534417837E-05,2.53662854304561E-05,5.06012687430068E-05,2.69345642721166E-05,837.878561997318,837.827201974648,837.800188327052,837.951462223711,837.995554508691,837.884533760166
15,834.219572847435,2.25110646167175E-05,6.46717778377695E-05,1.54482963359924E-05,2.74127356824158E-05,3.90353763718846E-05,2.62784365361835E-05,834.314772949627,834.261800399847,834.241567663332,834.403787063322,834.407037158574,834.319970902749
15.3333333333333,832.02023649059,2.20246551147857E-05,4.9397906946905E-05,1.44166991194998E-05,2.97166760577948E-05,3.33657798193056E-05,2.53791063432853E-05,832.117100600961,832.062832829541,832.048332475858,832.221507643574,832.193525660408,832.121013412702
15.6666666666667,831.120098042076,2.16958657865536E-05,2.37154498051462E-05,1.44938584802716E-05,3.22128275752858E-05,3.1526533714484E-05,2.44491621076872E-05,831.21814926135,831.162825400512,831.153370222036,831.33691754328,831.284100020903,831.220749355112
16,831.431046754633,2.11987670784862E-05,2.44351742926071E-05,1.49290948252925E-05,3.48468826469138E-05,2.88264842702395E-05,2.34931313965763E-05,831.529943274697,831.473725425181,831.468252709799,831.662365636824,831.588868600075,831.531495170291
16.3333333333333,832.880369141197,2.0621325894351E-05,2.25286032908268E-05,1.5405926749634E-05,3.72234843110635E-05,2.75216035152628E-05,2.25999688901018E-05,832.979861049187,832.922812242171,832.920315515734,833.125975733833,833.034006518037,832.980843194166
16.6666666666667,835.398206479916,2.00463565281373E-05,2.03902788189253E-05,2.0037713210512E-05,3.93036745220346E-05,2.68362184222601E-05,2.17668546048885E-05,835.498108617459,835.440167648917,835.439803901684,835.659643649326,835.54898311829,835.499125878007
17,838.893252524332,1.91796429416792E-05,1.82351073907364E-05,1.2660673296459E-05,4.10368646437588E-05,2.63296655428311E-05,2.09429702577174E-05,838.993177297007,838.934409465454,838.935456421946,839.170527333507,839.042116034351,838.995203144107
17.3333333333333,843.290702270161,1.8200646076136E-05,1.61680536548732E-05,1.22743855307359E-05,4.12947830989412E-05,2.57557339936199E-05,2.00955574701803E-05,843.389853711873,843.330658772812,843.332376744726,843.572284640381,843.438236324879,843.394310788473
17.6666666666667,848.522445492918,1.72133307426544E-05,1.43274548670275E-05,1.11233245303323E-05,4.18600293617156E-05,2.51634439088318E-05,1.92670118929089E-05,848.621130748067,848.560855014621,848.562267369516,848.822520666356,848.668802947048,848.628274837573
18,854.507382969932,1.6280182211641E-05,1.3143179101324E-05,9.93483252536828E-06,4.43293037028936E-05,2.46706570380576E-05,1.84582317636993E-05,854.605568530679,854.544042751076,854.543812365079,854.833560804824,854.651983582038,854.61576120615
18.3333333333333,861.190106286641,1.53247184427357E-05,1.32322180247931E-05,8.69259384955263E-06,4.83329137812952E-05,2.39719206576242E-05,1.79511868417787E-05,861.287483419482,861.224911706692,861.221959057886,861.551623226456,861.331303416074,861.300906259992
18.6666666666667,868.495184159827,1.44866773175595E-05,1.60050874256894E-05,7.70192547903993E-06,5.38393949677381E-05,2.27463271222788E-05,1.74320358133746E-05,868.59143887336,868.528074698464,868.524446211311,868.906560876297,868.632260633815,868.607934354926
19,876.375927962787,1.37685314937658E-05,1.37155096203043E-05,7.57434023227299E-06,6.18035757739784E-05,2.18758139752502E-05,1.67990309823828E-05,876.470720810674,876.40685343234,876.410235935421,876.859291551755,876.510539323551,876.489810854979
19.3333333333333,884.755439339482,1.29821007650694E-05,1.64665288948958E-05,8.44004725325792E-06,7.24396070298292E-05,2.11846591642917E-05,1.47455190959077E-05,884.847393369641,884.784344511425,884.798807477417,885.33564693478,884.888552880461,884.858077338154
