Theta Mix4Av Mix6Av Mix8Av Mix10Av Kav Tav MedianMix4 95%Mix4 MedianMix6 95%Mix6 MedianMix8 95%Mix8 MedianMix10 95%Mix10
115.280898876405 0.078109236779842 0.012216286423834 0.000299215757341 4.89968020520037E-05 0.000242369280582 0.000269904323157 0.049244286595162 0.286916884782547 0.006350575558575 0.042117034274508 0.000159411734953 0.001146230982418 1.43877020855918E-05 0.000245060925432
117.303370786517 0.081542573671845 0.012891763216801 0.000328417065535 5.08593183231251E-05 0.0002668604326 0.00031407333474 0.053270592185846 0.252267504835607 0.006147849859101 0.044634631769994 0.000170740593237 0.001197963951651 1.60399429409238E-05 0.000231741579003
119.325842696629 0.083234505970615 0.012877422168116 0.000366193865663 5.22570499382042E-05 0.00029943937424 0.000369309052304 0.059578891593834 0.25895081193895 0.005861222966919 0.04705844702636 0.000194696191471 0.001351527969585 1.81109833073756E-05 0.000198196066889
121.348314606742 0.09055587191267 0.01216020055524 0.00040812643873 5.40951379182954E-05 0.000337474182629 0.000434624714941 0.066680592224622 0.271684539222313 0.005012183541337 0.049062210223157 0.000207676807891 0.001430962280311 1.99894109217154E-05 0.000183869459668
123.370786516854 0.102056786847241 0.011254165093875 0.000453636085503 5.58331989698602E-05 0.000377044898508 0.000505662363287 0.073088983257276 0.311622070031799 0.003941085472455 0.048084213067685 0.00021637349389 0.001667834316527 2.1814416698148E-05 0.00018648073162
125.393258426966 0.121406489476065 0.011395159878371 0.000496549387814 5.85231375243218E-05 0.000414783494913 0.000573536349106 0.085522070842591 0.392303338029426 0.004723733160607 0.048112052687632 0.000223080588091 0.001858638089698 2.23056845460639E-05 0.000188976129977
127.415730337079 0.152078148256193 0.012282928388649 0.00055493751981 6.42081348509086E-05 0.000480397637067 0.000637643954157 0.088282680749498 0.528643268550007 0.005321066378312 0.051383152800311 0.00023659780435 0.002392119077454 2.01574096067439E-05 0.000216282742782
129.438202247191 0.197969436714852 0.014775207997473 0.000596590559852 7.19847210523172E-05 0.000567797454025 0.000664010888678 0.096767364453369 0.718326585287864 0.005956323666596 0.052508680961616 0.000235252860389 0.002797756151715 1.9104905743253E-05 0.000267765477639
131.460674157303 0.247753658030224 0.016186840125305 0.000671369705132 7.57752869297822E-05 0.000694431362197 0.000735502018506 0.102496948224505 0.927726747003099 0.006449983184817 0.062015641315674 0.000229340508124 0.002906478777312 1.865845397493E-05 0.000317871441988
133.483146067416 0.273534510550286 0.017227104845154 0.000667473385855 8.00834464896955E-05 0.000764017465626 0.000790540619748 0.106429499485742 1.0659145847863 0.00669404262969 0.074030064932997 0.000215578061583 0.002857393565603 1.63350864062927E-05 0.000366140477243
135.505617977528 0.345189411926624 0.020959962772317 0.000680952545163 8.50074863334953E-05 0.000815433523844 0.000885599623912 0.113183177957143 1.03707070429384 0.006703573325587 0.095663690741277 0.000213542738589 0.003207739921488 1.57094838428594E-05 0.000403827478617
137.52808988764 0.266294858366872 0.022401215478841 0.000781446050296 9.0150393438894E-05 0.000872779337503 0.000987388489018 0.11408977322 1.02258585670609 0.00635997363607 0.108753852623673 0.000223167399785 0.00345642444567 1.53768317491899E-05 0.000525920360449
139.550561797753 0.287020070123262 0.02475015339605 0.000829423715524 9.08817189647919E-05 0.000926187871978 0.000987099455305 0.10500742153606 0.978469449136808 0.006419396173647 0.08814659447952 0.000241643526867 0.002906394759002 1.48703730112923E-05 0.000465431930369
141.573033707865 0.298329480868758 0.024861130752736 0.000866045455125 9.74085005824154E-05 0.000970312153547 0.000958762553399 0.095677709928447 1.0523465396619 0.006214589683938 0.083008827375768 0.000238084218177 0.003233074484392 1.56160525504746E-05 0.000488365806058
143.595505617978 0.328695730240547 0.024881284433075 0.000846905300327 7.72173580864915E-05 0.000986562978281 0.000951575926799 0.115020335642606 1.0544936538581 0.005795391455999 0.081741186464517 0.00024858416376 0.00289894182253 1.79628135873449E-05 0.000381313162752
145.61797752809 0.310174590271287 0.02120778166837 0.000888490656197 7.77955869068579E-05 0.000965477035617 0.000936319296141 0.12688379206479 1.12915038256193 0.005664621276259 0.07807868381862 0.000266980397503 0.00304025680123 2.08190661459318E-05 0.000373511639202
147.640449438202 0.348896432799897 0.022213984856299 0.000999156157733 7.81867308920534E-05 0.00111245585046 0.001015096744294 0.139576884933202 1.52963066583138 0.0056152142705 0.087028283113993 0.000278606242704 0.003000410577556 2.46949427660086E-05 0.000327015211174
149.662921348315 0.40599084370623 0.024010960225051 0.001047529289063 8.59259264593714E-05 0.001216269344124 0.001030303914813 0.146319452003093 1.80612481316879 0.005344693096275 0.098726388519378 0.000312822563406 0.002879045641797 3.16634891888109E-05 0.000350291720294
151.685393258427 0.524379585892223 0.027450004898932 0.001034511762565 0.000103374363268 0.001289324148938 0.000993192810704 0.152237378762515 2.24504218167152 0.005757393939501 0.125801349392168 0.000351176349307 0.003021268840042 3.49535256621322E-05 0.000459582088571
153.707865168539 0.515573413547626 0.026847266708452 0.001014920008973 0.000115233390396 0.001378341666339 0.001005464608696 0.159266788436733 1.84134940619827 0.006840018141744 0.113377581306281 0.000416985781657 0.003404447669772 3.74003729072911E-05 0.000536114631405
155.730337078652 0.359455746912177 0.026130097169241 0.00111099161498 0.000100501815313 0.001508921942654 0.001156711726499 0.156140334743993 1.11827700934342 0.008611670324663 0.091431950973817 0.000449910499149 0.003723850087867 4.62310377511012E-05 0.000451642257426
157.752808988764 0.429492916277802 0.026715055848773 0.001333299223951 9.20764520732259E-05 0.00163472339573 0.001586795420127 0.161029880990607 1.36547809572696 0.011206936526778 0.078062964348622 0.000467084879088 0.005526367811409 4.47065648474913E-05 0.00032622312882
159.775280898876 0.753295934758265 0.026089550140345 0.001150874769092 7.64986485244334E-05 0.001474703513505 0.001734208235566 0.168662961252558 2.24000547735521 0.011053805942298 0.07700914040294 0.000413606880363 0.004217199792053 3.50654475826329E-05 0.000274532539342
161.797752808989 1.05064369854702 0.027543255102868 0.000808922564641 6.08105246512854E-05 0.001364860959589 0.001398270432385 0.144719412051583 2.28644584154694 0.009146239301072 0.065578829044071 0.000308285394271 0.002283871634543 2.99227069695322E-05 0.000219883419271
163.820224719101 1.91420453826985 0.041861528984461 0.000910408429147 5.10077223161054E-05 0.00144959567367 0.001327927109842 0.13250851856703 2.1721833665805 0.008096296283984 0.059346982418695 0.000253940966356 0.002231189552685 2.28303877346605E-05 0.000179540438569
165.842696629214 2.49628992615281 0.057552504413931 0.000801818832159 4.27226916997954E-05 0.001617645877459 0.001085760941361 0.11402486636629 1.64283529010598 0.00678645833041 0.056025960786352 0.000214565797257 0.002283160357321 1.93330801510974E-05 0.000152236130664
167.865168539326 1.35014989649445 0.039546282215199 0.000578234863212 3.82779818053873E-05 0.001291168174998 0.000813983463602 0.10541570065238 1.5700393553896 0.005794720320904 0.053272774162808 0.000192343497868 0.002194856563772 1.721175878107E-05 0.000139789987882
169.887640449438 0.842823289626748 0.029627278746575 0.000489290426679 3.74051461938028E-05 0.001121085277725 0.000990817851292 0.094902832473835 1.5497565514707 0.005163616553332 0.05362514241083 0.000183082988747 0.001990641214544 1.56174011432489E-05 0.000129844890297
171.910112359551 0.625258538377691 0.024917663155615 0.000485560177462 3.27598780467622E-05 0.000974331920583 0.000824084946375 0.089289264854793 1.31523833926269 0.004916105819477 0.05113454150851 0.000181652518509 0.001991320049897 1.38326207140648E-05 0.000120556690134
173.932584269663 0.522308623054175 0.022455740545975 0.000468583516547 3.07526502987128E-05 0.000917354323115 0.000786187999063 0.086404063518743 1.22574416358826 0.004831680334537 0.051070376327569 0.000171459837108 0.001929187538671 1.27506310423024E-05 0.000114948309471
