Theta Exact Mix4Av Mix6Av Mix8Av Mix10Av Kav Tav
95.0561797752809 13.1153907498609 13.067650720027 13.1262771563721 13.11438873499 13.1155338644353 13.1150583461701 13.1149889260532
97.0786516853933 11.7713658044872 11.7124554032962 11.7809743637062 11.770343540836 11.7714762764612 11.771015455929 11.7716508711776
99.1011235955056 10.6208767093703 10.5647389218637 10.628750073805 10.6199103363096 10.6209553644996 10.6206590969726 10.6217922672069
101.123595505618 9.69779845735674 9.65631045377382 9.70364583254733 9.69696827562448 9.69784668187903 9.69782520384754 9.69921868923546
103.14606741573 9.00393737567293 8.98598445251623 9.00768179199641 9.00332115370146 9.00395700757624 9.00427364965189 9.00568368766129
105.168539325843 8.51099354822636 8.52186010144218 8.512800318544 8.51066018914597 8.51098679359925 8.51165695784018 8.51285664921715
107.191011235955 8.16697560517743 8.20810932509292 8.16725728414945 8.1669797087205 8.16694497689171 8.16794092334778 8.16874038491873
109.213483146067 7.90609862515771 7.97526817398661 7.90549456341066 7.90647633276281 7.90604689888461 7.90730715531751 7.90756891789597
111.23595505618 7.66061621971652 7.75244341253876 7.65994784449247 7.66138255822473 7.66054640091171 7.66198808020592 7.66163661105169
113.258426966292 7.37267796313714 7.47948666895568 7.37288382213109 7.37382572979523 7.37259325817469 7.37412530669539 7.37315020152608
115.280898876405 7.00425012969398 7.11713989067255 7.00630713178089 7.00575021322696 7.00415391471989 7.00568934859352 7.0041423904608
117.303370786517 6.5434201999914 6.65344700479965 6.54825907218616 6.54522312729575 6.54331598216581 6.54478148026975 6.54276833215237
119.325842696629 6.00598710168534 6.10532027535912 6.01441066545132 6.00802554628131 6.00587846908779 6.00722022388837 6.0048879553589
121.348314606742 5.43202439828314 5.51494943531477 5.44463679730403 5.43421638432616 5.43191495663877 5.43310034810539 5.43062226241431
123.370786516854 4.87795822148256 4.9416112221838 4.8951117967824 4.88021079626871 4.87785151780038 4.87886686574033 4.87642618444709
125.393258426966 4.40547855097147 4.45022749852182 4.42724287409898 4.40769176336129 4.40537798597291 4.4062232465678 4.40399713886402
127.415730337079 4.06916897281801 4.09859734652956 4.09532392312364 4.07124006555127 4.06907770553326 4.06975941946466 4.06790466422128
129.438202247191 3.90500099874858 3.92549555023135 3.93505306292516 3.90682878042729 3.90492184778687 3.90544586091005 3.90408714303052
131.460674157303 3.92175060901845 3.94174192468227 3.95496914172562 3.9232400016443 3.92168595575257 3.92205139751055 3.92127291056976
133.483146067416 4.0969692139887 4.12591506952144 4.13243752538932 4.09803596574911 4.09692091324854 4.09711665087742 4.09695734489675
135.505617977528 4.37844279386637 4.42567492821956 4.41511782788903 4.37901830339918 4.37841209774591 4.3784164378681 4.37886894458379
137.52808988764 4.69120607384723 4.76477682719892 4.72798019722392 4.6912421981082 4.69119357393173 4.69097743312676 4.69199043980829
139.550561797753 4.94927232821054 5.05493646364011 4.98503132891545 4.94874595430796 4.94927792094782 4.94881111935559 4.95029475371861
141.573033707865 5.0704295566892 5.21087863766658 5.1041022047404 5.06934662582701 5.07045243577214 5.06971226512748 5.07154589765025
143.595505617978 4.99186470776162 5.16629903346638 5.02246093217876 4.99026330545495 4.99190338625776 4.99088423289062 4.9929259942756
145.61797752809 4.68410570235865 4.88818638332515 4.71074231187748 4.68205779078447 4.68415806592489 4.68288067353665 4.68497791938357
147.640449438202 4.1608709590428 4.38704798614846 4.18278560560428 4.15848233837383 4.16093434992573 4.159453302754 4.16145323257945
149.662921348315 3.48289178898663 3.72105919792773 3.49944730456878 3.48029994260757 3.48296311869387 3.48137130354069 3.48313095850498
