Ecms,phase_sing_20,phase_trip_20,delta_plus20,delta_minus20,epsi_p20,phase_sing_21,phase_trip_21,delta_plus21,delta_minus21,epsi_p21,phase_sing_22,phase_trip_22,delta_plus22,delta_minus22,epsi_p22,phase_sing_23,phase_trip_23,delta_plus23,delta_minus23,epsi_p23,phase_sing_24,phase_trip_24,delta_plus24,delta_minus24,epsi_p24,phase_sing_25,phase_trip_25,delta_plus25,delta_minus25,epsi_p25,phase_sing_26,phase_trip_26,delta_plus26,delta_minus26,epsi_p26
65.0,-0.2726018833220667,-0.3211758360604926,-0.3131696388136235,0.615851950151859,0.044768605223740994,0.11011356914729137,0.20053089134992844,0.018130128626522406,0.22848980945535213,-0.0516125620243281,-0.04943281152446867,-0.02705847138718994,-0.026616114896224754,0.0676545938686145,0.08159628791404297,0.010122822681858617,0.012313745090471426,0.002703647507687681,0.01333834630885614,-0.012017147142982803,-0.013547738930894865,-0.006628501445336179,-0.003853220299008666,-0.004552530605748895,0.018837410902120537,0.002281757311081934,0.0010881083701160274,0.0004744603106542928,0.0011298373243732577,-0.0028801591677388837,0.360625929906034,0.10111031592834674,0.0,0.0,0.0
68.0,-0.27873768863043863,-0.3258334353603948,-0.32557189990376934,0.5908256751939356,0.04426080891570782,0.11626687616701642,0.20555899232060695,0.018914502348401904,0.2337770829299154,-0.05224313855860289,-0.05098272661539639,-0.027996659254464235,-0.02861150744722779,0.07459638254734707,0.08483388265500302,0.010745109710486466,0.013499040158437978,0.002924904491532695,0.014636816389903698,-0.012651329518787162,-0.014312614897419935,-0.0071046655143518125,-0.004214108667058094,-0.004789838472694398,0.020024469382237214,0.0024587840196108883,0.0012017076306760795,0.000525881613198898,0.001248391538699289,-0.003107364500982564,0.34200499218281083,0.09006526564014931,0.0,0.0,0.0
71.0,-0.2847923226536786,-0.3299127928623233,-0.3377829708156839,0.5666972161989212,0.043667503839100306,0.12239465840707235,0.21018353507417664,0.019663481012018758,0.2385929626099734,-0.052776352199494427,-0.052467889453011334,-0.028881769574500515,-0.03063929908821277,0.08181690212664562,0.08797877576532621,0.011358921116153177,0.014725236089941926,0.0031500733822267565,0.015994932677000702,-0.01327450198076909,-0.01508089450611196,-0.007580197465218862,-0.004585138516556874,-0.005015481701008419,0.021204408003642882,0.0026365870670811307,0.0013228638194294627,0.0005793265883014557,0.001372010850516513,-0.0033363307187395824,0.32404799335600326,0.07884915333902237,0.0,0.0,0.0
74.0,-0.29077501832055425,-0.33344389550057957,-0.34981254212164714,0.54340121592112,0.042989073643352034,0.12848530993281093,0.2144233051240568,0.02037507239570042,0.24296268294249973,-0.053219880898916716,-0.05389227416329128,-0.029713804111556885,-0.03269788249068939,0.08930630554721747,0.0910330301483113,0.009206940093050543,0.011762774822706237,0.003378854240512257,0.017413002896295098,-0.013886473635642643,-0.02353241388928279,-0.009241346266505338,-0.004965683351821371,-0.005228743887413368,0.02237615917157943,0.0026367292616087026,0.0013978562349901687,0.0006347022410710379,0.0015005965668273271,-0.003566636537250363,0.3067142205761499,0.06749855270581591,0.0,0.0,0.0
77.0,-0.2966935242139385,-0.3364554351996609,-0.36166950456081054,0.5208799767200757,0.04222588647685821,0.13452782752227405,0.21829786096505735,0.021045928808349317,0.2469106274503671,-0.053581160206773344,-0.05525960008178559,-0.030492648461097064,-0.034785867806114965,0.09705451566175856,0.09399851463093793,0.012667638107811375,0.017455778725432167,0.0036109747850781664,0.01889135795048662,-0.01448712298799797,-0.01652933988968875,-0.008523357817691885,-0.005355167804268237,-0.005429071916825199,0.023538902341884594,0.0029882245329442966,0.001565707218155145,0.0006919200697010282,0.0016340581998819997,-0.0037979082873327535,0.2899749403177146,0.05604462761691834,0.0,0.0,0.0
80.0,-0.30255435172567063,-0.3389750034759578,-0.3733620114170208,0.4990823106408416,0.041378304251092436,0.14051183748170962,0.22182559410595196,0.021676798149381442,0.2504610494438911,-0.0538656985056312,-0.05657334017362237,-0.031218067073738715,-0.03690205482124518,0.10505120076057806,0.09687688931332787,0.01332385742745432,0.01886970240172151,0.003846186579002219,0.02043034607425112,-0.01507638547987857,-0.017233139644954237,-0.00898217993161363,-0.005753049019160893,-0.005615960197662722,0.024691953625352547,0.0031668247191527616,0.0016997123605989864,0.0007508960465891804,0.0017723131656642284,-0.0040298151304856925,0.273796717983324,0.04451431067179899,0.0,0.0,0.0
83.0,-0.308362973006715,-0.34102924610406904,-0.3848975390897261,0.4779625979685415,0.04044668941016211,0.14642761382273764,0.22502575306247163,0.022264630988394003,0.25363651361492173,-0.05407975930445894,-0.05783673341238278,-0.0318897024238994,-0.03904540531036162,0.1132857555121415,0.09966960327122745,0.013971942736225923,0.020322178459581675,0.004084333896351471,0.02203068783721121,-0.01565454878555046,-0.017942097441054437,-0.0094484125848314,-0.0061588173404609325,-0.005788965236401754,0.025834759919954497,0.0033558756705887377,0.0018367275708401545,0.0008115506545112637,0.0019152864416739893,-0.004262063715120295,0.2581513928296145,0.0329305297505616,0.0,0.0,0.0
86.0,-0.31412398588264756,-0.34264412669169175,-0.3962785411621259,0.4574766205282449,0.03943203267950897,0.15226608834900784,0.22791360718209686,0.022807677349906047,0.256458901807178,-0.05422864044361283,-0.05905280328358665,-0.03250707762851602,-0.041215016581988506,0.12174728591400046,0.10237790472332634,0.014566960793932514,0.021715008706251836,0.0043250765736382035,0.023692105460638983,-0.01622106502302439,-0.018690653201794465,-0.009921463621408895,-0.006571992894022586,-0.005947696964601499,0.02696688453987546,0.0035342225255412456,0.0019697658378372263,0.000873808866989492,0.002062910213563412,-0.004494393030743156,0.24301324974096758,0.021313087519768806,0.0,0.0,0.0
89.0,-0.31984125440549105,-0.3438443910604407,-0.4075198958327676,0.4375941367829698,0.03833357145993326,0.1580188541187898,0.23050700302057467,0.023304261527404987,0.25894908215497237,-0.05431716539503705,-0.060224378514975946,-0.033069601431759334,-0.04341009825679592,0.13042459781849688,0.10500285687094724,0.01446046505137187,0.022395485995863232,0.004568280504921722,0.025415265247787328,-0.016776243475980033,-0.019985636990657477,-0.010429598616240588,-0.006992123216759699,-0.006091811572455062,0.028087994579747422,0.003676218309884985,0.001996777798397529,0.000937599999091687,0.002215123540340281,-0.00472657031618717,0.22835873226392855,0.009679068726236334,0.0,0.0,0.0
92.0,-0.3255180272569075,-0.34465471487083704,-0.41862317428113005,0.4182790025811637,0.03715226483728421,0.16367816381341796,0.2328220464111312,0.023752787012885763,0.26112689463595967,-0.05434972590886919,-0.06135411077826085,-0.033576574436456175,-0.0456299530190679,0.13930618993184965,0.10754535249181774,0.016027770116216047,0.025172272980225834,0.00481376507676984,0.027200537316761204,-0.01732015181112839,-0.01994831562467292,-0.010811022688637548,-0.0074187820265529695,-0.006221005357602061,0.02919784567115085,0.00388907463537501,0.002263371458959181,0.0010028574536246066,0.0023718720493775794,-0.004958388187454804,0.21416619406597281,-0.00195676000828803,0.0,0.0,0.0
95.0,-0.33115701353749033,-0.3450989685149502,-0.4295936561734632,0.3995012899137037,0.03588855074407253,0.1692369238947421,0.23487412585721693,0.024151740545003773,0.2630111538307494,-0.05433032223448552,-0.06244448730237613,-0.03402719587236179,-0.04787350008511998,0.14838229715161952,0.110005745108033,0.016724084614951087,0.02686863116603674,0.005061361144776763,0.029048287081597533,-0.017852875061565684,-0.020587261644032878,-0.011255572312133878,-0.007851568374339788,-0.0063350091688183004,0.03029626522415161,0.004086852638634375,0.0024213781222407055,0.0010695044156633418,0.0025331728071535543,-0.005189587114029335,0.20041568443679314,-0.013581400866123219,0.0,0.0,0.0
98.0,-0.3367605424255817,-0.3452004773569025,-0.44043618216024105,0.3812338386024013,0.03454288661427307,0.17468868477978702,0.23667790754192156,0.024499695283507043,0.2646196645194547,-0.05426260047770047,-0.06349784025065994,-0.03442057070283276,-0.05014109415036364,0.15763701455061546,0.11238536351277578,0.0174084106083608,0.028586355354468757,0.005310909253191766,0.030958871946432976,-0.018374512219336368,-0.02123419227078781,-0.011699302519276667,-0.008290105390308498,-0.006433583303721903,0.03138313801033757,0.004269983912396147,0.002570288505159305,0.001137507794534167,0.0026988653393962628,-0.0054201448820569535,0.18708876331684388,-0.025184171673080406,0.0,0.0,0.0
101.0,-0.34233050544441407,-0.34498204899236923,-0.45115478887986515,0.36345022084267187,0.033115697085008486,0.18002762709293801,0.23824733981726268,0.024795313264700903,0.2659692466585427,-0.05414988660205491,-0.06452487085077112,-0.03475571713925646,-0.052431780086125236,0.1670596932777053,0.1146842918691343,0.018042546680960083,0.030214825677208686,0.00556225811746531,0.032932638215445606,-0.018885173165154114,-0.02190891741372209,-0.012144646945951668,-0.008734038427676382,-0.00651651295755175,0.03245839671532835,0.004451176234133194,0.0027315814875422603,0.0012067996008961553,0.0028689682163226364,-0.005649850701234103,0.17416834122945188,-0.03675527712077538,0.0,0.0,0.0
104.0,-0.3478684889095586,-0.344465989298281,-0.4617561434747631,0.34613337486393414,0.03160827123728385,0.18524854433715626,0.23959566488540338,0.025037347276758437,0.26707576708008407,-0.053995216983462706,-0.06551108885079227,-0.03503183321057467,-0.054745080171031614,0.17663764669531667,0.11690286571410159,0.012142683020824522,0.017066659162219888,0.0058152633587883204,0.034969918188415605,-0.019384975681225523,-0.0481181419314362,-0.01621598740639886,-0.00918303300265079,-0.006583604358742114,0.03352201694714227,0.004110411305751265,0.0027129069360352443,0.0012773273927589443,0.003043450761682917,-0.005878576434368198,0.16163854004311698,-0.048286374217586116,0.0,0.0,0.0
107.0,-0.35337580194747864,-0.34367292223746065,-0.4722400880486336,0.3292568686708738,0.030019618210777352,0.19034682268488534,0.24073543588358906,0.025224642189882494,0.2679541758791582,-0.05380136589300551,-0.06646646201088599,-0.035247298386769266,-0.05708053707941148,0.18635793127575478,0.11904132622155494,0.019572242441270402,0.03433383633537802,0.006069936002080393,0.03706809180885074,-0.019874744305541703,-0.023103604790835893,-0.012986331158118848,-0.009636773083124777,-0.006634681593436793,0.03457401399773342,0.004823469667212714,0.00304191700470104,0.0013490418860312792,0.00322228756391218,-0.006106208093859608,0.1494845713364199,-0.05977021725086122,0.0,0.0,0.0
