Ecms,phase_sing_20e,phase_trip_20e,delta_plus20e,delta_minus20e,epsi_p20e,phase_sing_21e,phase_trip_21e,delta_plus21e,delta_minus21e,epsi_p21e,phase_sing_22e,phase_trip_22e,delta_plus22e,delta_minus22e,epsi_p22e,phase_sing_23e,phase_trip_23e,delta_plus23e,delta_minus23e,epsi_p23e,phase_sing_24e,phase_trip_24e,delta_plus24e,delta_minus24e,epsi_p24e,phase_sing_25e,phase_trip_25e,delta_plus25e,delta_minus25e,epsi_p25e,phase_sing_26e,phase_trip_26e,delta_plus26e,delta_minus26e,epsi_p26e
88.0,-0.3179401000688206,-0.34348901431700285,-0.40378821160312556,0.44415361529621544,0.03870796139114325,0.15611120364948405,0.229674982566351,0.02315163837525734,0.2581593210869357,-0.05429142012716338,-0.059845066076820067,-0.032888150151367805,-0.04267489865290979,0.12751262993135304,0.10413748829375268,0.012476339868424502,0.017820754470457115,0.004487098288589324,0.024833440440486233,-0.01659281929869349,-0.02382353045308793,-0.011068809111238222,-0.006851316477644077,-0.006045399648448198,0.02771545219062101,0.0034940904439084036,0.00202585046891891,0.0009161609397323368,0.002163922850071839,-0.004649157117948835,0.2331923984371454,0.013557631951344514,0.0,0.0,0.0
89.0,-0.31984120574332214,-0.34384456338037095,-0.4075197223798581,0.4375907589301347,0.03833259789896998,0.15801877759253935,0.2305077549016942,0.02331220834762003,0.25895356884312504,-0.05431453418525018,-0.06023095805364998,-0.03306951562664403,-0.04340936464224655,0.13042847584989936,0.10500327091972715,0.01445451150903765,0.0224072313832782,0.004568433592993245,0.02541468712158748,-0.016776629991514348,-0.01998861072934788,-0.010445781310961539,-0.0069921052516503865,-0.006091793381137133,0.028087912479317776,0.003676144210526662,0.0021039645272661997,0.0009375903172107094,0.0022151698655341204,-0.004726516989144455,0.22835985935379244,0.009678719420110707,0.0,0.0,0.0
90.0,-0.3217378160833384,-0.34415679099033575,-0.4112358951264583,0.4310909153446896,0.037948029290067006,0.15991596218467527,0.23130960464657388,0.023467442096753412,0.2597131151605493,-0.054331434316719426,-0.06061220339100063,-0.03324470954468044,-0.044146583210887415,0.13336702341141357,0.1058598917795388,0.015486364786121148,0.023965156626037324,0.004650022322540102,0.026002834500744886,-0.016959188251361716,-0.019593936822106632,-0.010522059174162306,-0.0071336191998407445,-0.006136528918261529,0.028459121151164505,0.003776995520021045,0.002159266935721116,0.0009591825714767373,0.002266920877075544,-0.0048038366550296665,0.22357863878968223,0.005799621192328388,0.0,0.0,0.0
91.0,-0.3236300379138129,-0.3444265880824213,-0.41493693096461065,0.42465294052648944,0.03755427150279649,0.16180248669871544,0.2320811106682457,0.023617282357134374,0.26043866961257167,-0.05434227325394619,-0.060988896147745414,-0.03341370344633225,-0.04488653059247851,0.13632783884499913,0.10670737987178332,0.015781196872932328,0.024599979544284164,0.004731858086843735,0.026597896183586968,-0.017140497037832315,-0.019750457507448253,-0.010664761909943728,-0.007275843168314031,-0.006179595905962927,0.02882907106172912,0.0038415873297138778,0.002209366094941827,0.000980935331931647,0.0023191740333695587,-0.004881109022815194,0.21884797872782824,0.0019208327093401894,0.0,0.0,0.0
92.0,-0.3255179720330839,-0.3446548385707837,-0.4186230252596058,0.4182757275853002,0.03715134075775571,0.16367808845111625,0.23282284292203004,0.02376167290027347,0.26113092914082614,-0.05434719906388585,-0.06136112839792019,-0.033576467649214424,-0.045629183902091315,0.13931048456863776,0.10754576227512638,0.016025437724373013,0.02517178957867079,0.0048139346289440875,0.02719988570313349,-0.01732055950873234,-0.019951796591437573,-0.010812835328633119,-0.007418762312913004,-0.006220984394409173,0.02919775588063287,0.0039035189019326886,0.0022593605870956483,0.0010028462739478429,0.002371927559665091,-0.0049583272780633625,0.21416714117478436,-0.0019571737720387814,0.0,0.0,0.0
93.0,-0.32740171352781977,-0.3448424195172403,-0.42229436779275387,0.4119582051857533,0.036739253538198506,0.16554251276155937,0.23353536243291742,0.023900558547720642,0.26179057812179346,-0.054346355302035,-0.06172899026636711,-0.03373297127684205,-0.04637452107474158,0.1423145192109133,0.10837506419049094,0.01625947955328063,0.025735458934853243,0.004896245817932865,0.027808816506250025,-0.017499379006660706,-0.02016268581922864,-0.01096170902496193,-0.007562362094208449,-0.006260684816686944,0.029565170029930293,0.0039648897494422835,0.0023096696096597683,0.0010249131179591749,0.0024251797566706983,-0.005035484876180565,0.2095354074125521,-0.005833948034447563,0.0,0.0,0.0
94.0,-0.32928135206534775,-0.34499020127922314,-0.4259511429306073,0.40569933606094016,0.03631802656883081,0.16739551290704419,0.23421922129121667,0.024033885183011236,0.26241828844743964,-0.05433988116185283,-0.0620925699632841,-0.03388318228828269,-0.04712252080420273,0.14533949764133433,0.10919530898688848,0.016490582234463598,0.02630038760466246,0.004978785641943475,0.02842470194041114,-0.01767695904618508,-0.020376169576031652,-0.011110499410699831,-0.007706628271397151,-0.0062986879683494205,0.029931308629629377,0.004026093760720775,0.0023603841072455923,0.001047133628664384,0.002478928999442875,-0.0051125755334570505,0.20495207728578413,-0.009709060818789864,0.0,0.0,0.0
95.0,-0.3311569721660695,-0.3450990476379921,-0.42959352979051446,0.3994981156027879,0.035887676794885644,0.16923685007048134,0.23487496266103627,0.024161599762647545,0.2630147196184871,-0.05432791161941827,-0.062451953819385966,-0.034027067508396416,-0.0478731624819095,0.14838497100883064,0.11000651825260006,0.01672059482155849,0.02686856893751638,0.005061548201524563,0.0290475552407467,-0.017853303301314447,-0.020590279101343825,-0.011258968697122085,-0.007851546895160636,-0.0063349849877110545,0.03029616745119715,0.004087236348870097,0.002411532704848125,0.0010695056143357378,0.0025331737362783075,-0.005189593217608714,0.20041646852193112,-0.01358210280266801,0.0,0.0,0.0
96.0,-0.33302865345871,-0.3451698159087112,-0.43322170240195546,0.3933535705240916,0.035448221363065496,0.17106629328386608,0.23550312080045094,0.02428365032620522,0.26358051884898526,-0.054310577573180606,-0.06280722632305015,-0.03416459265872357,-0.048626426135977306,0.15145048678791556,0.11080871185287493,0.016949903286112653,0.027439935934092673,0.005144527703403939,0.02967738951735124,-0.018028415593060964,-0.02080444948186328,-0.011407061147413581,-0.00799710429964633,-0.006369567336984788,0.03065974287925956,0.004148343192323462,0.0024631258535852104,0.0010920269262153948,0.0025879124876119716,-0.005266532137865491,0.19592791608233215,-0.017452683634494634,0.0,0.0,0.0
97.0,-0.3348964709209704,-0.34520335703388083,-0.43683582986315717,0.38726475758759304,0.034999677605613205,0.1728836193661804,0.23610422109234286,0.02439998600563945,0.26411632118101214,-0.05428800597875684,-0.06315847016038231,-0.0342957223890451,-0.04938229237057761,0.15453558883196997,0.11160190799467273,0.017178239361723628,0.028013321247080312,0.005227718454636322,0.030314217742844447,-0.018202299876982554,-0.021018722913191304,-0.011554806354999675,-0.008143287093820364,-0.006402426784347767,0.031022031881094085,0.004209404701872463,0.0025151666204573874,0.0011146954579756162,0.0026431438449246282,-0.005343386734725501,0.191485771542332,-0.021320431019641015,0.0,0.0,0.0
