Ecms1,Cross_sig26e,Cross_sig20e,Cross_sig21e,Cross_sig22e,Cross_sig23e,Cross_sig24e,Cross_sig25e,phase_sing_20e,phase_trip_20e,delta_plus20e,delta_minus20e,epsi_p20e,phase_sing_21e,phase_trip_21e,delta_plus21e,delta_minus21e,epsi_p21e,phase_sing_22e,phase_trip_22e,delta_plus22e,delta_minus22e,epsi_p22e,phase_sing_23e,phase_trip_23e,delta_plus23e,delta_minus23e,epsi_p23e,phase_sing_24e,phase_trip_24e,delta_plus24e,delta_minus24e,epsi_p24e,phase_sing_25e,phase_trip_25e,delta_plus25e,delta_minus25e,epsi_p25e,phase_sing_26e,phase_trip_26e,delta_plus26e,delta_minus26e,epsi_p26e
33.0,0.7389730565040393,4.776188474301754,0.3699647979294918,0.06306498354837053,0.0014168793901307986,0.0024421823367726248,4.044450022844259e-05,-0.19701818293293039,-0.22552024942606164,-0.1656034148906505,0.9688585578218246,0.04458230738812475,0.04634014079450976,0.11731044286108952,0.008139285404857862,0.136546663067073,0.0,-0.027591509153844274,-0.013720189473695516,-0.00807243826337524,0.013413955806059481,0.04069929783541422,0.0038119390582364372,0.002924891295620145,0.0007040174751158352,0.0031610860001218275,-0.004750920391371442,-0.00493166959334044,-0.0019355948851575424,-0.0008359978594020062,-0.001590088173909706,0.006313265523743346,0.0006095730229054636,0.00020898581703826294,7.943974329169181e-05,0.0002138452458741526,-0.000737652763315293,0.6161164220738037,0.18968993161610131,0.0,0.0,-0.0
35.5,0.6898511084226846,4.644938214183666,0.42544166977189546,0.07537460931692985,0.0018164822192532348,0.0032067998076663606,5.6676694521584636e-05,-0.2041079757802421,-0.23675231388103377,-0.17836538950509054,0.9327962642492057,0.04500807254799389,0.05099547443673498,0.12591539499558346,0.00898877377735207,0.1463218214320077,0.0,-0.029727177280040488,-0.01497626093674681,-0.009278831969255191,0.016212441044183994,0.044335175721216834,0.004239451707575992,0.0034155221161350758,0.0008273326354989207,0.0037131312563388613,-0.00532947887692347,-0.005649787170984194,-0.002256353825778015,-0.0010034886160089126,-0.0018244275135244977,0.007225631357651035,0.000716916958494207,0.0002538795003896389,9.862138335686698e-05,0.00026026791906544404,-0.0008729212935109985,0.5910938470820148,0.18648706518478578,0.0,0.0,-0.0
38.0,0.6430251041530379,4.521349299548722,0.4822815535123315,0.08871945108172685,0.010058916425443876,0.021083565427653106,9.949747915438678e-05,-0.21087880551534946,-0.24721337140921157,-0.19088320031957556,0.8987904902557977,0.045351415056019244,0.05573491636060254,0.13416403235557625,0.009833262831032542,0.15564764930294966,0.0,-0.031779370559755625,-0.016199274778394626,-0.010538304209710614,0.01927340590443476,0.047897659456159605,0.00982704922881905,-0.019311836688536574,0.0009579095561217426,0.004307096382428894,-0.005911592292692606,-0.00311835546607648,-0.028459838815291964,-0.0011846689083265672,-0.0020632898408653824,0.008161467935933722,0.0009237487637356997,0.000892869344455647,0.00011998074822254379,0.0003112764749395757,-0.0010161229382276002,0.5671964278957228,0.18226399025147888,0.0,0.0,-0.0
40.5,0.5984424800649801,4.405327114194589,0.5400105700627744,0.10309910323219817,0.002159354771463562,0.007604760088331997,9.301846691567306e-05,-0.2173788228420399,-0.2569503682250655,-0.20316636125644053,0.8665927882927946,0.045618615079250184,0.06055082848206281,0.14204848740146986,0.010670359380094118,0.16451766706998797,0.0,-0.03375045233175631,-0.01738726053115485,-0.01184657716953314,0.02259191270498748,0.051384389838884256,0.0022652727977195124,0.0021993585449825723,0.001095175461659551,0.004942616042728292,-0.006495006432292401,0.010280136615350103,-0.008159793719595056,-0.0013789062624948087,-0.0023048714922427596,0.00911604820228747,0.0007697572198670311,0.0003300350095073699,0.00014347617136403556,0.000366783828520885,-0.0011664197470629535,0.5443235413392548,0.17717381936094417,0.0,0.0,-0.0
43.0,0.5560523533577122,4.2966887725741305,0.5982022013974175,0.11852129319429183,0.003454113504803402,0.006218653644444405,0.00013089383882558536,-0.2236475112536205,-0.2660050195316071,-0.21522496421397194,0.8359988848098342,0.04581421529702833,0.0654353277707597,0.1495653268651041,0.011498014559397621,0.17293076794738568,0.0,-0.03564333436333353,-0.018538938135931566,-0.013199824474117751,0.026162857490546792,0.05479433318785856,0.005658816751301736,0.005155022092756093,0.0012386056027792558,0.005619405348496289,-0.007077880174774957,-0.007711491728307782,-0.0032827442628839917,-0.001585575538968295,-0.002547569212280583,0.010085344908522679,0.0010729416705087212,0.0004143501283941387,0.00016905682786287022,0.00042669781460409503,-0.0013230344980663523,0.5223890769521163,0.1713454804166714,0.0,0.0,-0.0
45.5,0.5158038800966773,4.195198723808025,0.6564776707057818,0.13500137686960478,0.004170547756879195,0.007454712396414376,0.00016541633215982898,-0.2297175027327854,-0.27441469550227726,-0.22706924022158992,0.8068387220008022,0.045941519248329524,0.0703803508176477,0.15671467521386212,0.012314427019561845,0.1808900982786486,0.0,-0.03746123650173767,-0.01965352675196766,-0.014594630186539009,0.02998104320474658,0.05812738158197479,0.0061832626901795855,0.005837360639226142,0.0013877207540491246,0.006337251578102217,-0.007658710671282728,-0.008347586297940947,-0.0036380665377118465,-0.0018040701977344112,-0.0027899602859095198,0.011065909162220576,0.0012015724960309964,0.00047618177423385736,0.00019666521543222143,0.0004909242771745378,-0.0014852545965621342,0.5013186744310609,0.16488794188382455,0.0,0.0,-0.0
48.0,0.4776454724009289,4.100591995324615,0.7145047935397852,0.1525616194539774,0.00496426046245535,0.008831462133875423,0.0002052596849275723,-0.23561593999975267,-0.28221313430362654,-0.23870928822801163,0.77896916858636,0.04600292712781865,0.07537772249384736,0.16349949828917257,0.013117971390711336,0.1884021426716775,0.0,-0.03920750915507122,-0.020730599424389495,-0.01602795118708738,0.03404122556717185,0.06138404775910926,0.006680527208942824,0.006539984175421374,0.0015420840056423158,0.007096006289820514,-0.008236274195030308,-0.009024724459953185,-0.0040059495958507,-0.0020338069849549314,-0.0030307826771901964,0.012054772478993931,0.001332615087382231,0.0005418637296883452,0.00022623949653965375,0.0005593692445422419,-0.0016524306043695306,0.48104759865971103,0.15789364787127347,0.0,0.0,-0.0
50.5,0.44152452454466573,4.012589458541269,0.7719957503320973,0.17123044124715392,0.005848604739763008,0.010334892457398936,0.00025074217365883555,-0.2413655189404465,-0.2894310209797864,-0.25015490770500953,0.7522685785970955,0.04600018216670733,0.08041922024809964,0.16992501386152192,0.013907146556006644,0.1954759733559285,0.0,-0.040885518929675506,-0.02176997390641508,-0.017497077357610143,0.03833813940560176,0.06456525306631794,0.007177437677522237,0.00727820760133164,0.00170129765244163,0.007895577827981469,-0.00880957614473517,-0.009704280092235368,-0.004380859468195039,-0.0022742257514572566,-0.003268916827518144,0.01304938302658571,0.0014665113373551932,0.0006113759116345475,0.0002577154936843669,0.0006319403984031261,-0.0018239709326620958,0.46151908368554495,0.15044131511085734,0.0,0.0,-0.0
53.0,0.407387423375849,3.9309079202096515,0.8287041435072995,0.1910417107502571,0.006830447097224024,0.011961674776840958,0.0003021123326316655,-0.24698531018855338,-0.29609646491847835,-0.26141549444707385,0.7266326632655273,0.04593456059912459,0.08549663074286981,0.17599820451636985,0.014680539306746386,0.2021226334004637,0.0,-0.042498586212808706,-0.022771631721693726,-0.018999592481786492,0.042866508967843,0.06767218978631548,0.007677152939840412,0.00805438517323941,0.0018650001959177648,0.008735924321480647,-0.009377808434505806,-0.010381013398050561,-0.00476113776490688,-0.0025247885303037805,-0.0035033697042791785,0.014047560049227737,0.0016029879840267914,0.0006846345240699794,0.00029102809454473584,0.0007085480599991369,-0.001999336163739694,0.44268302285760747,0.14259821600232278,0.0,0.0,-0.0
55.5,0.3751797121563776,3.8552667988641645,0.8844216349125533,0.21203405926111074,0.007914625350862181,0.013712302088105588,0.0003595692364024572,-0.25249141764546057,-0.30223539779926556,-0.2724999785014769,0.7019713141908069,0.04580701259392745,0.09060179980837724,0.1817274145202222,0.015436799297248569,0.20835463052917855,0.0,-0.04404995143198902,-0.02373565796199101,-0.02053334102365288,0.04762104632997426,0.07070622653465511,0.008175926972569041,0.008868358472808709,0.0020328632307597076,0.009617047339888015,-0.009940314934010092,-0.01105934804754886,-0.005146052734515445,-0.00278498020731559,-0.003733260729916822,0.015047447893937369,0.0017415422041098126,0.0007615323267522151,0.00032611210274727183,0.0007891058709789987,-0.002178035047225386,0.4244949226590495,0.13442204608267824,0.0,0.0,-0.0
