Ecms1,phase_sing_20e,phase_trip_20e,delta_plus20e,delta_minus20e,epsi_p20e,phase_sing_21e,phase_trip_21e,delta_plus21e,delta_minus21e,epsi_p21e,phase_sing_22e,phase_trip_22e,delta_plus22e,delta_minus22e,epsi_p22e,phase_sing_23e,phase_trip_23e,delta_plus23e,delta_minus23e,epsi_p23e,phase_sing_24e,phase_trip_24e,delta_plus24e,delta_minus24e,epsi_p24e,phase_sing_25e,phase_trip_25e,delta_plus25e,delta_minus25e,epsi_p25e,phase_sing_26e,phase_trip_26e,delta_plus26e,delta_minus26e,epsi_p26e
53.0,-0.2469902971954689,-0.29610355990241793,-0.2614210923680037,0.7265956837466875,0.04593362163436574,0.08549602254157493,0.17599564733069295,0.014680345293668566,0.20211907917336086,-0.04793396869099235,-0.042498736784183186,-0.02277167497969686,-0.019000002508084292,0.04286595558873878,0.06767205575693784,0.007676612707111547,0.00805652470912327,0.0018649925715887694,0.00873591058937653,-0.009377800143646172,-0.010382915130701697,-0.004760946662751321,-0.002524805520495427,-0.003503387215359866,0.014047567111302579,0.0016029534994809877,0.0006846311102591797,0.0002910277540629701,0.0007085476846753761,-0.0019993359970950533,0.44266771809911576,0.14259653272725142,0.0,0.0,0.0
56.0,-0.25358563600664563,-0.30340979969829834,-0.27470284169687204,0.6971133959030786,0.045773238040408455,0.09162473605766609,0.18282995393773918,0.015585670825787403,0.20954853076053315,-0.04904600793963799,-0.04435326688357819,-0.023924008501241194,-0.020844136175938912,0.04859796807821395,0.07130424526668805,0.008278100399313901,0.009030907967083678,0.002066899304927828,0.009798151049941695,-0.010052070244256243,-0.011188996779303025,-0.005223795203610542,-0.002838151017156911,-0.003778642369987652,0.015247495994914026,0.0017696164599644197,0.0007773583418936867,0.00033333533316489,0.0008056836385625879,-0.002214134646962347,0.4209171694515083,0.1327498383957629,0.0,0.0,0.0
59.0,-0.26004042184182646,-0.3099991045645436,-0.2877455047552708,0.668901285374106,0.04552489453683108,0.09777953174933857,0.18918530131035977,0.016464079309388004,0.2164044690090919,-0.05002224319466055,-0.046124337532043466,-0.025022406166328857,-0.02272997916288569,0.0546464680836332,0.07483399814637828,0.008874660320862107,0.01005043661340898,0.002274287220492611,0.010919184838449657,-0.010717202001184891,-0.011997767076398085,-0.005692801359125194,-0.0031645205605449023,-0.004045999659412027,0.01644720857827262,0.001938635239661424,0.0008751722016714194,0.0003780820539600552,0.0009083660324543162,-0.002432973237328059,0.40003196039410105,0.12250775087550238,0.0,0.0,0.0
62.0,-0.26637386081977193,-0.31590966067198506,-0.3005625272510407,0.6418450714956904,0.04518947572788928,0.10394684121114729,0.1950794776969703,0.01731338977460528,0.22271180294735432,-0.050873537480742935,-0.047817076412643045,-0.02606715492316501,-0.02465468132398588,0.06100220524207963,0.07826390068638679,0.00726716404352777,0.0100977193722714,0.0024866990499199174,0.012099151828697039,-0.011372506295043227,-0.014710823475585494,-0.0063141776798815935,-0.003503123194708122,-0.004304302349592301,0.017644464048351207,0.0020185408280453056,0.000971825589928846,0.00042515835349320695,0.0010164614533349288,-0.002655175937279523,0.37995236747780364,0.11194126896901116,0.0,0.0,0.0
65.0,-0.2726018675375461,-0.32117702742411175,-0.3131663425667065,0.6158463897475918,0.044767635629105317,0.11011349723741054,0.20053120249681733,0.018131473200519884,0.228496159109638,-0.05160989348021772,-0.049436311026241464,-0.02705851785674417,-0.02661577368156662,0.06765582957752343,0.08159647285588954,0.010121672201575073,0.012302855795219163,0.002703724823095293,0.013338247363325714,-0.01201746410663996,-0.013548527234711968,-0.006631893407778182,-0.0038532172340855885,-0.00455254591810099,0.018837393523700834,0.0022848391749828952,0.0010858054242059252,0.00047445794887528766,0.0011298453207869382,-0.0028801442781976024,0.36062556739266216,0.10111020055580776,0.0,0.0,0.0
68.0,-0.2787376703968119,-0.3258345736082034,-0.32556841693392535,0.5908199540910426,0.04425987893899851,0.11626680235151314,0.2055597036020994,0.018916245719318943,0.23378338328174833,-0.05224049200867881,-0.05098656665142035,-0.02799669356870411,-0.02861111734481481,0.0745978597548711,0.0848341069144541,0.010744056244109275,0.013492782146483846,0.002924996169850342,0.014636712602658565,-0.01265169208931675,-0.014313113530970412,-0.0071054017175783074,-0.00421410510857813,-0.004789856629099123,0.020024449387729345,0.0024602944189150698,0.0011983086184492657,0.0005258787086545454,0.0012484018815161748,-0.0031073465904234527,0.3420045672319189,0.090065126769265,0.0,0.0,0.0
71.0,-0.2847923015760317,-0.3299138363508203,-0.3377793009363875,0.5666913272831865,0.04366662747435286,0.12239458304948393,0.2101843858651071,0.01966566796320314,0.23859916004377432,-0.05277373696668447,-0.052472083473290555,-0.028881790316253424,-0.030638858023596813,0.08181864860276557,0.08797903924619956,0.011357780000832714,0.014717870899545992,0.003150181332438959,0.01599482596568908,-0.013274914038426861,-0.01508063049615173,-0.0075811865682908,-0.0045851297382324355,-0.005015473825998187,0.02120436498240307,0.0026365050675895077,0.0013153971340345494,0.000579323052139377,0.0013720240579454626,-0.0033363093550080585,0.32404733747241254,0.07884898453316515,0.0,0.0,0.0
74.0,-0.2907749939598266,-0.333444816560446,-0.34980868524519254,0.5433951509130409,0.04298826490786637,0.12848523340855,0.21442457377731636,0.020377747879883983,0.24296872705481068,-0.05321730550299357,-0.05389683522735083,-0.02971380993529775,-0.032697389249270646,0.0893083486833309,0.09103333142028261,0.009206870998280865,0.011761254116111852,0.0033789805286676563,0.01741289563996811,-0.013886939092600617,-0.023526417798205947,-0.00924321262838458,-0.004965673257385187,-0.0052287348314686245,0.0223761105420215,0.0026363495207170884,0.001399915518166772,0.0006346979757674714,0.0015006132375001984,-0.0035666112507449703,0.3067161039560378,0.06749834698668856,0.0,0.0,0.0
77.0,-0.2966934960881568,-0.3364562189981185,-0.36166546076758255,0.5208737262804278,0.042225159251768014,0.13452775021552024,0.21829931442401887,0.021050545139889482,0.2469166649633148,-0.05357820160427504,-0.05526454087176655,-0.03049263810224397,-0.03478532218190457,0.09705688182009001,0.0939988507884743,0.012665505785318094,0.01744627918119657,0.0036111216378805987,0.018891253022114748,-0.014487645756244632,-0.01653069531481887,-0.008517319880899828,-0.005355156296160986,-0.005429061511271717,0.023538847728725748,0.002994863140090695,0.0015633376699502885,0.0006919149689311847,0.0016340790204271496,-0.0037978785699161995,0.28997676528397354,0.056044463686956515,0.0,0.0,0.0
80.0,-0.30255431931369975,-0.3389756449609001,-0.3733577810355921,0.49907586448131624,0.041377672121847356,0.14051175978234828,0.22182722904266602,0.021682176260198433,0.2504667471443092,-0.05386281011394636,-0.05657867300939031,-0.03121803935765588,-0.0369014577390868,0.10505391460130402,0.09687725586399329,0.013321943951592755,0.018862065958982186,0.0038463563865909906,0.02043024687253322,-0.015076969436519663,-0.017234493563412105,-0.00898417026226556,-0.005753036006626609,-0.005615948243053084,0.02469189266150042,0.0031753703002057546,0.0016940967826599988,0.0007508899951757439,0.001772338918534537,-0.004029780434467272,0.27379840905205705,0.04451411020108842,0.0,0.0,0.0
83.0,-0.3083629357550441,-0.34102974668770747,-0.38489312278517457,0.4779559449655771,0.04044616550649495,0.14642753612330103,0.2250264035542444,0.022270820160657553,0.25364183653599737,-0.054076948470217955,-0.05784247026841674,-0.031889656274675666,-0.039044758910887434,0.11328883932502497,0.09966999406085343,0.01396987380947158,0.020313304618609345,0.0040844571419086356,0.022030238009846253,-0.015654891573767662,-0.017941771271848848,-0.009450077917225115,-0.006158802741953564,-0.005788951497057054,0.025834692248977005,0.00335584762655926,0.0018290851857066205,0.0008115435284573968,0.0019153180132157849,-0.004262023452318407,0.2581529063312631,0.03293028654615948,0.0,0.0,0.0
